Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet)
Operator 1,Well 1,MBH,5114.0,30.0,141,99,10,0.0,16079.0,1/1/2006,No Data,47.05114958,-103.2145801,,660.0,33.55,141.5187377,127.6901162,110.0098619,97.35188838,88.27525751,-6207668.792103861,3724549.7201593937
Operator 1,Well 10,MBH,10626.0,1.0,142,99,2,0.0,26063.0,1/1/2006,No Data,47.14045104,-103.1991766,,660.0,41.55,194.1485865,157.8676309,132.2430419,115.9653737,105.1199869,-6193295.496322022,3754253.509052448
Operator 4,Well 100,TFH,9167.0,28.0,139,100,13,1495508.0,55244.0,3/17/2012,Sleeves,46.86058682,-103.2462915,,660.0,47.59,277.9092702,227.7010739,168.79794,141.2155745,121.6579005,-6238093.729225703,3661103.1580901677
Operator 7,Well 1000,MBH,9969.0,1.0,142,97,7,954000.0,10225.0,1/1/2006,No Data,47.1389039,-103.0312774,,660.0,10.01,55.62130178,44.6416831,35.48104317,29.75016437,25.86017971,-6153735.285932647,3739997.3365047458
Operator 4,Well 10000,TFH,9008.0,23.0,154,98,33,3129000.0,51287.0,2/17/2015,P & P (cmt.),48.11203336,-103.2941402,SW-XL HYBRID,202.19094,86.55,,,,,,-6098593.084977269,4099257.734749742
Operator 1,Well 10001,TFH,9462.0,30.0,155,98,19,5528291.0,121503.0,7/6/2015,P & P,48.22798439,-103.3280376,SLICKWATER (HC),567.378245,119.27,,,,,,-6092463.060274112,4142291.4875144796
Operator 4,Well 10002,TFH,8996.0,30.0,156,100,18,3748800.0,125870.0,5/21/2015,P & P (cmt.),48.34053804,-103.5890329,SLICKWATER (HC),419.78419,68.75,,,,,,-6139310.272311236,4202548.362267863
Operator 18,Well 10003,MBH,9398.0,50.0,155,96,14,3433655.0,51273.0,9/29/2015,Sleeves,48.25359423,-102.9855248,,414.030395,107.59,,,,,,-6009812.154842169,4123689.207635939
Operator 1,Well 10004,TFH,9498.0,30.0,155,97,20,5961425.0,122948.0,1/8/2015,P & P,48.22731305,-103.177899,CROSSLINKED (HC),621.873795,95.87,,,,,,-6057669.609450055,4129958.6769993408
Operator 1,Well 10005,MBH,9444.0,30.0,154,100,24,5369856.0,121862.0,2/14/2015,P & P,48.15273772,-103.490046,CROSSLINKED (HC),575.85662,133.2,,,,,,-6139216.582106009,4129282.764648675
Operator 18,Well 10006,MBH,5916.0,50.0,157,96,5,4036711.0,60665.0,6/13/2015,Sleeves,48.45832024,-103.1116625,CROSSLINKED (HC),526.23735,48.9,,,,,,-6014536.590162333,4205016.200297952
Operator 18,Well 10007,TFH,10557.0,35.0,157,96,5,2804501.0,51832.0,6/17/2015,Sleeves,48.45832055,-103.1115264,SLICKWATER (HC),356.45244,50.13,,,,,,-6014505.046445159,4205005.434186939
Operator 18,Well 10008,TFH,9429.0,33.0,154,98,7,2224542.0,36200.0,3/29/2015,Sleeves,48.17029604,-103.3255974,CROSSLINKED (HC),504.71312,70.26,,,,,,-6098870.409126502,4122046.767889661
Operator 2,Well 10009,MBH,9854.0,30.0,155,96,5,3905892.0,83914.0,5/19/2015,P & P,48.28330445,-103.0560536,CROSSLINKED (HC),513.813995,81.4,,,,,,-6022641.890586127,4139664.6719998773
Operator 27,Well 1001,MBH,9456.0,25.0,161,101,26,2816044.0,59059.0,4/29/2015,P & P (cmt.),48.74899873,-103.7564416,LINEAR GEL (HC),660.0,58.75,,,,,,-6127934.009786885,4358029.943060951
Operator 2,Well 10010,TFH,9610.0,30.0,155,96,5,3774869.0,78953.0,5/25/2015,P & P,48.28330417,-103.0559303,,407.1868,69.84,,,,,,-6022613.288814072,4139654.7118387097
Operator 2,Well 10011,MBH,9223.0,30.0,155,96,5,3662033.0,73871.0,5/19/2015,P & P,48.28330388,-103.055807,,553.372805,76.36,,,,,,-6022584.68822632,4139644.748238146
Operator 2,Well 10012,MBH,9689.0,45.0,157,95,16,7019274.0,87643.0,12/11/2015,30 Sleeves and 15 P & P,48.42971051,-102.9629016,CROSSLINKED (HC),364.54824,102.94,,,,,,-5983508.746347849,4183196.9388918458
Operator 2,Well 10013,MBH,10137.0,45.0,157,95,16,7542850.0,89824.0,12/9/2015,30 Sleeves and 15 P & P,48.42971063,-102.9630252,,449.23288,114.17,,,,,,-5983537.375568388,4183206.8122307532
Operator 41,Well 10014,TFH,9068.0,28.0,155,100,1,3602394.0,125812.0,9/20/2014,P & P,48.28372616,-103.4755151,SLICKWATER (HC),619.291925,90.64,494.017094,334.8564541,257.6703923,,,-6119926.123180959,4173596.9531575283
Operator 1,Well 10015,TFH,9547.0,40.0,159,96,34,4810607.0,105828.0,9/14/2014,P & P,48.54718859,-103.0782601,,660.0,55.68,285.7659435,242.31865,206.6348893,,,-5996139.00610327,4233286.789083474
Operator 24,Well 10016,TFH,9199.0,25.0,154,98,23,4717858.0,112745.0,8/18/2014,P & P (cmt.),48.14163319,-103.2484607,CROSSLINKED (HC),262.21974,80.22,513.0177515,369.2965155,291.7926803,240.2586018,,-6084393.764835572,4105854.6509111687
Operator 38,Well 10017,TFH,6568.0,26.0,154,99,14,3811423.0,59463.0,11/13/2014,P & P (cmt.),48.16610045,-103.3766646,LINEAR GEL (HC),401.45465,67.74,329.1913215,287.6725838,,,,-6111247.394183164,4124721.905383489
Operator 18,Well 10018,MBH,9982.0,35.0,159,98,26,2518225.0,43263.0,3/10/2015,Sleeves,48.57437066,-103.3177486,LINEAR GEL (HC),660.0,53.61,226.2327416,205.2706553,,,,-6048187.615201301,4261902.094870159
Operator 46,Well 10019,MBH,9238.0,50.0,155,99,10,5998969.0,304024.0,9/28/2015,P & P,48.25649234,-103.4039464,SLICKWATER (HC),660.0,220.85,,,,,,-6106631.672545538,4158336.5262198616
Operator 22,Well 1002,TFH,9625.0,28.0,161,99,21,2411721.0,67357.0,2/16/2016,P & P (cmt.),48.75041565,-103.5396737,SLICKWATER (HC),660.0,79.07,,,,,,-6077937.496734557,4340984.488900651
Operator 46,Well 10020,MBH,9841.0,50.0,154,99,35,5649945.0,288721.0,2/21/2015,P & P,48.11180178,-103.3734375,SLICKWATER (HC),660.0,219.87,263.1163708,,,,,-6117070.880936201,4105597.377760013
Operator 46,Well 10021,MBH,10055.0,50.0,154,99,35,5844845.721,260628.0,2/20/2015,P & P,48.11180282,-103.3735604,SLICKWATER (HC),660.0,222.45,518.9020381,,,,,-6117099.345255385,4105607.7022881224
Operator 18,Well 10022,TFH,7957.0,25.0,157,95,24,1704710.0,30320.0,11/21/2014,Sleeves,48.40742674,-102.8935265,CROSSLINKED (HC),660.0,74.82,344.4115713,301.3039667,242.9268025,,,-5970086.482053896,4169923.420765586
Operator 1,Well 10023,TFH,11317.0,40.0,153,99,31,7583624.0,171234.0,2/8/2015,P & P,48.03322985,-103.4701114,,567.130555,122.87,422.6824458,406.1253561,,,,-6149096.391033741,4086166.4522687267
Operator 1,Well 10024,MBH,11286.0,40.0,153,99,31,7973766.0,150413.0,1/29/2015,P & P,48.03318356,-103.4702791,,567.130555,174.97,581.2952005,451.7861056,,,,-6149141.060502188,4086164.0382278245
Operator 4,Well 10025,MBH,8949.0,23.0,154,98,33,2988000.0,53211.0,2/17/2015,P & P (cmt.),48.11203382,-103.2942631,SW-XL HYBRID,257.61639,80.2,,,,,,-6098621.628547137,4099267.831927985
Operator 4,Well 10026,TFH,9456.0,24.0,154,98,33,2968760.0,49469.0,2/23/2015,P & P (cmt.),48.11203153,-103.2943861,CROSSLINKED (HC),275.762595,87.49,,,,,,-6098650.527408459,4099276.9816581015
Operator 4,Well 10027,MBH,9050.0,30.0,156,100,18,4415800.0,166568.0,5/21/2015,P & P (cmt.),48.34057325,-103.5889221,SLICKWATER (HC),417.130945,100.1,,,,,,-6139280.3246375555,4202551.579470025
Operator 1,Well 10028,TFH,9601.0,30.0,155,97,20,4431127.0,231624.0,1/4/2015,P & P,48.2273121,-103.1777142,SLICKWATER (HC),660.0,108.26,,,,,,-6057626.785108114,4129943.490661544
Operator 1,Well 10029,TFH,9287.0,30.0,154,100,24,5929393.0,117891.0,2/12/2015,P & P,48.15273926,-103.4898615,CROSSLINKED (HC),575.85662,69.13,,,,,,-6139173.524595869,4129268.2957881503
Operator 22,Well 1003,MBH,9517.0,30.0,161,97,31,2609766.0,61650.0,1/10/2016,P & P (cmt.),48.72132424,-103.3261432,SLICKWATER (HC),660.0,41.2,,,,,,-6032338.72269121,4313705.172794939
Operator 1,Well 10030,MBH,9253.0,30.0,155,98,21,3402520.0,199660.0,3/6/2015,P & P,48.2276356,-103.2991488,SLICKWATER (HC),645.55996,134.94,710.3879027,421.7291256,,,,-6085796.508474052,4139837.5241435715
Operator 18,Well 10031,MBH,10593.0,34.0,157,96,5,2503760.0,50552.0,6/10/2015,Sleeves,48.45832087,-103.1113903,CROSSLINKED (HC),490.21509,53.96,,,,,,-6014473.501510205,4204994.671605432
Operator 18,Well 10032,MBH,9159.0,32.0,157,96,5,2625456.0,43019.0,6/15/2015,Sleeves,48.45832118,-103.1112543,,633.4667,22.58,,,,,,-6014441.980909458,4204983.913582174
Operator 18,Well 10033,MBH,9327.0,48.0,154,98,7,3293240.0,49766.0,3/31/2015,Sleeves,48.17029545,-103.325462,CROSSLINKED (HC),439.86458,103.71,890.7626561,,,,,-6098839.007766996,4122035.6144379564
Operator 18,Well 10034,MBH,9688.0,35.0,158,98,16,2739899.0,45329.0,5/29/2015,Sleeves,48.51626692,-103.3459453,,660.0,68.98,,,,,,-6061731.616277896,4243958.172965497
Operator 2,Well 10035,TFH,9243.0,30.0,155,96,5,3658186.0,77938.0,5/25/2015,P & P,48.28330332,-103.0555604,CROSSLINKED (HC),613.084835,69.28,,,,,,-6022527.484611419,4139624.828116879
Operator 41,Well 10036,MBH,9257.0,30.0,156,100,32,5360535.0,238751.0,4/29/2015,P & P (cmt.),48.28583883,-103.5625142,SLICKWATER (HC),603.35805,165.05,,,,,,-6139836.234353615,4181396.289872357
Operator 18,Well 10037,TFH,9661.0,35.0,156,95,21,2458259.0,41117.0,11/4/2015,Sleeves,48.31550026,-102.9107677,SW-XL HYBRID,276.82681,52.01,,,,,,-5985050.775484102,4139281.000541175
Operator 18,Well 10038,MBH,9741.0,35.0,156,95,21,2439601.0,40563.0,11/3/2015,Sleeves,48.31550014,-102.9109035,CROSSLINKED (HC),186.615925,57.31,,,,,,-5985082.328719442,4139291.7631319994
Operator 18,Well 10039,TFH,9703.0,35.0,156,95,21,2458527.0,40599.0,11/9/2015,Sleeves,48.31550001,-102.9110392,CROSSLINKED (HC),161.59803,37.85,,,,,,-5985113.859906447,4139302.514333736
Operator 27,Well 1004,MBH,8998.0,25.0,161,101,25,2790868.0,55774.0,5/5/2015,P & P (cmt.),48.74886046,-103.7419316,LINEAR GEL (HC),660.0,60.08,,,,,,-6124617.234060466,4356804.08385652
Operator 41,Well 10040,MBH,9592.0,30.0,155,100,1,3785336.0,133875.0,9/20/2014,P & P,48.28372554,-103.4756384,SLICKWATER (HC),603.04405,97.26,574.1946088,416.3817664,315.5544598,,,-6119954.78607134,4173606.7374872444
Operator 41,Well 10041,TFH,9848.0,32.0,155,100,1,3944138.0,147813.0,9/20/2014,P & P,48.28372491,-103.4757617,SLICKWATER (HC),627.81908,88.49,454.6679816,361.4727153,270.4032435,,,-6119983.450163382,4173616.518383586
Operator 11,Well 10042,TFH,9694.0,32.0,155,101,5,4084100.0,79000.0,10/14/2014,Sleeves,48.27986695,-103.7109853,,660.0,58.95,312.1301775,225.7725181,176.660092,,,-6174967.564309593,4191427.696421818
Operator 24,Well 10043,MBH,7991.0,19.0,154,98,23,4349323.0,89451.0,8/18/2014,P & P (cmt.),48.14166951,-103.2483492,CROSSLINKED (HC),298.737075,75.45,571.9921105,414.069691,295.9785229,234.2537804,,-6084363.447935725,4105858.2772293873
Operator 18,Well 10044,MBH,9280.0,31.0,159,98,26,3611160.0,53489.0,12/15/2014,Sleeves,48.57437066,-103.317885,LINEAR GEL (HC),660.0,55.77,391.4858646,274.852071,,,,-6048219.102533536,4261913.045292176
Operator 41,Well 10045,TFH,9690.0,33.0,154,101,7,5756296.0,201084.0,1/22/2015,P & P (cmt.),48.16981943,-103.7199281,SLICKWATER (HC),607.35116,51.56,,,,,,-6190515.776671659,4153973.2298252885
Operator 13,Well 10046,MBH,9719.0,50.0,158,95,17,4001904.0,193764.0,12/14/2014,P & P,48.50365723,-102.976368,SLICKWATER (HC),483.273075,143.52,910.5193951,641.2667105,,,,-5977786.295617557,4210019.357895781
Operator 27,Well 10047,MBH,9127.0,25.0,159,100,4,2820487.0,56072.0,10/17/2014,P & P (cmt.),48.63292153,-103.6156082,CROSSLINKED (HC),660.0,51.86,212.3931624,193.8636862,169.0116152,145.0690335,,-6109753.207646112,4306276.998966289
Operator 1,Well 10048,TFH,11777.0,40.0,153,99,31,7942187.0,164296.0,11/8/2014,P & P,48.03297939,-103.4710358,CROSSLINKED (HC),578.149085,149.56,497.008547,447.6879246,353.7804076,,,-6149342.048829041,4086154.7787428643
Operator 1,Well 10049,MBH,11799.0,40.0,153,99,31,5730439.0,300437.0,11/20/2014,P & P,48.03293311,-103.4712076,,578.149085,175.53,620.5785667,583.7168529,507.4019286,,,-6149387.671964701,4086152.7026041704
Operator 22,Well 1005,MBH,9614.0,30.0,163,100,15,2551165.0,73585.0,6/16/2016,P & P (cmt.),48.9517648,-103.6429713,SLICKWATER (HC),660.0,54.89,,,,,,-6077047.5517698,4419331.774214173
Operator 1,Well 10050,MBH,4301.0,25.0,155,100,13,4924414.0,94330.0,10/11/2014,P & P,48.25494165,-103.4880821,LINEAR GEL (HC),660.0,107.72,548.9809336,474.7863248,359.1989919,,,-6126338.719395006,4164617.9573531435
Operator 4,Well 10051,TFH,8751.0,30.0,156,100,18,3996080.0,129459.0,6/22/2015,P & P (cmt.),48.34060846,-103.5888112,SLICKWATER (HC),416.18459,76.47,,,,,,-6139250.353830703,4202554.788584529
Operator 4,Well 10052,TFH,8996.0,30.0,156,100,18,3748800.0,125870.0,5/21/2015,P & P (cmt.),48.34064367,-103.5887004,SLICKWATER (HC),541.61589,118.86,,,,,,-6139220.406195309,4202558.00587561
Operator 1,Well 10053,TFH,10256.0,30.0,155,97,20,5977729.0,119140.0,12/26/2014,P & P,48.22730789,-103.176893,,634.43065,93.2,,,,,,-6057436.483813361,4129876.0118855466
Operator 1,Well 10054,MBH,10220.0,30.0,155,97,20,4475964.0,223526.0,12/22/2014,P & P,48.22730694,-103.1767082,SLICKWATER (HC),634.43065,109.55,,,,,,-6057393.659293225,4129860.8260382633
Operator 1,Well 10055,TFH,9420.0,29.0,155,98,21,5543270.0,123484.0,3/6/2015,P & P,48.22763526,-103.2989639,SLICKWATER (HC),645.55996,113.29,671.1045365,357.5169844,,,,-6085753.608522007,4139822.482577202
Operator 2,Well 10056,TFH,7069.0,30.0,158,95,15,2742660.0,68916.0,3/14/2015,P & P,48.51650992,-102.9439591,CROSSLINKED (HC),566.18634,79.36,265.0558843,,,,,-5968749.6253115805,4211921.830560073
Operator 2,Well 10057,MBH,6880.0,30.0,158,95,15,2626200.0,68844.0,3/10/2015,P & P,48.51651014,-102.9438353,CROSSLINKED (HC),488.35147,87.78,370.973044,,,,,-5968720.949697729,4211912.080630627
Operator 1,Well 10058,MBH,9456.0,30.0,154,100,35,3468600.0,190378.0,4/15/2015,P & P,48.11598238,-103.5156897,SLICKWATER (HC),660.0,120.78,,,,,,-6149645.189413832,4118607.73301098
Operator 41,Well 10059,MBH,10020.0,33.0,156,100,32,5905113.0,243082.0,5/10/2015,P & P (cmt.),48.28583942,-103.5626293,SLICKWATER (HC),576.74539,171.36,,,,,,-6139862.838562703,4181405.855600767
Operator 22,Well 1006,MBH,10120.0,30.0,161,97,31,2614646.0,62367.0,1/10/2016,P & P (cmt.),48.7213253,-103.3263504,SLICKWATER (HC),660.0,42.16,,,,,,-6032386.30302271,4313722.138566763
Operator 18,Well 10060,MBH,9744.0,35.0,156,95,21,2453012.0,40634.0,11/5/2015,Sleeves,48.31549988,-102.911175,,247.99969,52.12,,,,,,-5985145.4143013675,4139313.273540536
Operator 41,Well 10061,TFH,8744.0,34.0,156,100,34,5169763.0,253252.0,8/24/2015,P & P (cmt.),48.28592908,-103.5324769,SW-GEL HYBRID,583.618385,86.75,,,,,,-6132863.244388738,4178985.9616756807
Operator 11,Well 10062,TFH,9500.0,32.0,155,101,5,3929180.0,95513.0,10/6/2014,Sleeves,48.2797765,-103.7109841,SW-GEL HYBRID,660.0,51.38,467.7514793,334.6811308,219.8444006,,,-6174978.361388818,4191396.207469994
Operator 11,Well 10063,TFH,9717.0,32.0,155,101,5,4007268.0,75902.0,10/18/2014,Sleeves,48.27968604,-103.7109828,LINEAR GEL (HC),660.0,32.96,111.9000657,107.571773,88.94915626,,,-6174989.136523938,4191364.7068817965
Operator 18,Well 10064,MBH,10513.0,35.0,159,98,25,2517731.0,45590.0,3/4/2015,Sleeves,48.57440776,-103.2774828,LINEAR GEL (HC),660.0,63.14,265.5489809,232.1389437,,,,-6038887.2071502535,4258684.540250778
Operator 1,Well 10065,TFH,9613.0,30.0,153,99,17,6062615.0,147179.0,8/11/2014,P & P,48.08124321,-103.4334863,SLICKWATER (HC),650.88965,120.71,534.9769888,511.374096,418.5294762,295.1384323,,-6134744.722088568,4099857.9471089314
Operator 25,Well 10066,MBH,9176.0,35.0,158,101,36,3498026.0,74001.0,11/3/2014,P & P,48.46052991,-103.6807419,SLICKWATER (HC),660.0,64.41,322.1236029,308.7552049,239.3326759,,,-6145856.589635036,4251679.064872494
Operator 1,Well 10067,MBH,9450.0,40.0,155,98,19,5991109.0,300169.0,11/4/2014,P & P,48.22772728,-103.3366654,,554.67381,158.01,530.4404997,497.8303748,449.6055227,,,-6094497.59241787,4142899.247486003
Operator 1,Well 10068,TFH,9551.0,40.0,155,98,19,8010651.0,155877.0,11/4/2014,P & P,48.22772691,-103.3364806,CROSSLINKED (HC),552.13088,134.59,401.808021,366.8639053,312.6451896,,,-6094454.725827817,4142884.1852261676
Operator 4,Well 10069,TFH,9937.0,44.0,156,97,2,2736719.0,98799.0,9/11/2014,P & P (cmt.),48.37171849,-103.1293709,CROSSLINKED (HC),531.79592,53.19,303.2215648,252.7394258,189.1573526,155.2122142,,-6029043.605674302,4176295.7471467424
Operator 22,Well 1007,MBH,9732.0,30.0,160,98,20,2614969.0,64088.0,2/5/2016,P & P (cmt.),48.66279986,-103.3755639,SLICKWATER (HC),660.0,38.2,,,,,,-6050812.844804433,4297306.373970733
Operator 2,Well 10070,MBH,9087.0,30.0,155,96,17,3590661.0,81696.0,1/1/2015,P & P,48.25469371,-103.0586884,CROSSLINKED (HC),655.770915,71.32,441.1571335,,,,,-6026682.877284587,4129920.4837890714
Operator 1,Well 10071,MBH,4292.0,25.0,155,100,34,4969136.0,96641.0,11/19/2014,P & P,48.21140275,-103.5255203,CROSSLINKED (HC),660.0,87.35,484.9769888,425.0054789,340.768135,,,-6140320.527222208,4152539.101916613
Operator 4,Well 10072,TFH,10353.0,35.0,156,100,18,4414500.0,152397.0,6/3/2015,P & P (cmt.),48.34104988,-103.587399,SLICKWATER (HC),492.197055,86.11,,,,,,-6138869.554391791,4202593.245828493
Operator 13,Well 10073,TFH,9573.0,35.0,158,95,16,3970126.0,172159.0,3/26/2015,P & P (cmt.),48.50381162,-102.9678899,SLICKWATER (HC),321.093675,67.98,,,,,,-5975805.649624136,4209399.40347045
Operator 13,Well 10074,MBH,9547.0,35.0,158,95,16,3937128.0,156864.0,3/17/2015,P & P (cmt.),48.50381136,-102.9677454,SLICKWATER (HC),298.927515,105.93,,,,,,-5975772.236903277,4209387.8316675555
Operator 1,Well 10075,MBH,10183.0,30.0,155,98,21,3355120.0,192283.0,3/18/2015,P & P,48.22763373,-103.2981425,SLICKWATER (HC),658.266995,166.02,698.816568,430.1994302,,,,-6085563.031698046,4139755.656190021
Operator 1,Well 10076,TFH,10191.0,30.0,155,98,21,5873748.0,124687.0,3/18/2015,P & P,48.22763339,-103.2979577,SLICKWATER (HC),420.765735,129.4,631.2623274,388.8231427,,,,-6085520.154795853,4139740.6231867736
Operator 2,Well 10077,TFH,6620.0,30.0,158,95,15,2634380.0,68148.0,3/7/2015,1 Sleeve and 29 P & P,48.51651037,-102.9437115,SLICKWATER (HC),532.79843,73.44,476.1012492,,,,,-5968692.272875471,4211902.334225027
Operator 2,Well 10078,MBH,6793.0,30.0,158,95,15,2633550.0,65815.0,3/3/2015,P & P,48.5165106,-102.9435876,CROSSLINKED (HC),610.6333,68.15,302.695595,,,,,-5968663.5728979,4211892.5799226295
Operator 1,Well 10079,TFH,9492.0,30.0,154,100,35,5892229.0,117101.0,4/16/2015,P & P,48.11589192,-103.5158092,SLICKWATER (HC),648.01705,103.55,,,,,,-6149683.972629092,4118586.059308844
Operator 7,Well 1008,MBH,5915.0,1.0,141,96,4,1054688.0,10684.0,8/29/2006,OH,47.06622556,-102.8606031,,660.0,47.48,200.3287311,177.2189349,155.7308788,140.3426109,129.24611,-6121934.963745213,3700891.635496279
Operator 1,Well 10080,MBH,9831.0,30.0,154,100,35,3453450.0,193442.0,4/22/2015,P & P,48.11580146,-103.515945,SW-GEL HYBRID,648.01705,122.79,,,,,,-6149726.545369637,4118565.713164268
Operator 2,Well 10081,MBH,9251.0,30.0,158,95,3,3644880.0,78372.0,6/11/2015,P & P,48.54545909,-102.9351332,LINEAR GEL (HC),541.715045,86.04,,,,,,-5963249.319352703,4221305.923012031
Operator 2,Well 10082,TFH,9180.0,30.0,158,95,3,3650619.0,78954.0,6/16/2015,P & P,48.54545949,-102.9350093,CROSSLINKED (HC),536.916665,71.62,,,,,,-5963220.612375316,4221296.235639594
Operator 1,Well 10083,MBH,9350.0,30.0,158,100,16,3448266.0,184853.0,5/26/2014,P & P,48.51684198,-103.6102736,SLICKWATER (HC),660.0,97.48,702.6298488,481.7882972,367.614508,303.532033,261.1275477,-6122702.391280548,4265511.610866831
Operator 11,Well 10084,MBH,10165.0,32.0,155,101,5,3995784.0,71088.0,9/19/2014,Sleeves,48.28363963,-103.7030719,,660.0,70.49,381.0979619,307.8128424,230.6103441,,,-6172672.568868289,4192090.3918450205
Operator 27,Well 10085,MBH,9936.0,25.0,159,101,11,3057473.0,56446.0,6/16/2014,P & P (cmt.),48.60512012,-103.6970858,SLICKWATER (HC),660.0,54.13,225.9040105,197.1071663,183.420995,163.8724523,146.8523997,-6131923.250314897,4303226.38081458
Operator 18,Well 10086,TFH,9567.0,35.0,159,98,25,2514926.0,42736.0,3/7/2015,Sleeves,48.57440801,-103.2773464,LINEAR GEL (HC),660.0,67.39,379.1913215,228.248959,,,,-6038855.68458624,4258673.691340885
Operator 1,Well 10087,MBH,3003.0,10.0,153,99,17,1409368.0,76685.0,7/30/2014,P & P,48.08124341,-103.4333021,SLICKWATER (HC),650.88965,166.85,630.0131492,558.6894587,476.808021,392.8921031,,-6134701.835308287,4099843.046740158
Operator 1,Well 10088,MBH,9588.0,40.0,158,98,20,8027994.0,154789.0,8/20/2014,P & P,48.4892966,-103.3782183,CROSSLINKED (HC),660.0,105.93,528.9612097,414.365549,354.0214771,298.6339397,,-6072456.516504481,4237177.38008759
Operator 1,Well 10089,MBH,10292.0,38.0,155,98,19,4261698.0,249519.0,2/16/2015,P & P,48.22772529,-103.3356594,SLICKWATER (HC),581.30824,164.45,626.035503,385.3495507,,,,-6094264.235266452,4142817.2622115477
Operator 22,Well 1009,MBH,10063.0,30.0,163,100,15,2562721.0,77346.0,6/17/2016,P & P (cmt.),48.9517648,-103.6431795,SLICKWATER (HC),653.849925,49.71,,,,,,-6077095.239628284,4419348.557474458
Operator 18,Well 10090,MBH,10614.0,35.0,158,97,31,2381801.0,41061.0,3/30/2015,Sleeves,48.46070851,-103.2568319,,660.0,60.92,,,,,,-6047844.691701392,4217473.442494382
Operator 2,Well 10091,TFH,9758.0,30.0,155,96,17,3834635.0,82051.0,1/5/2015,P & P,48.25469319,-103.0585652,,627.836365,54.84,224.4575937,,,,,-6026654.313796031,4129910.442448024
Operator 2,Well 10092,MBH,9381.0,30.0,155,96,17,3682606.0,74023.0,1/10/2015,P & P,48.25469268,-103.058442,CROSSLINKED (HC),619.31374,55.36,255.6541749,,,,,-6026625.749094618,4129900.404626376
Operator 4,Well 10093,MBH,9703.0,35.0,154,97,9,5393080.0,153429.0,4/19/2015,P & P (cmt.),48.1710443,-103.1645018,SLICKWATER (HC),529.76314,124.9,,,,,,-6061323.067133092,4109315.1804402554
Operator 4,Well 10094,TFH,9904.0,26.0,154,97,9,3506980.0,56574.0,4/24/2015,P & P (cmt.),48.17111311,-103.1645674,CROSSLINKED (HC),379.81517,50.43,,,,,,-6061330.0509401215,4109344.3828201685
Operator 4,Well 10095,MBH,10316.0,35.0,156,100,18,5231400.0,202772.0,6/3/2015,P & P (cmt.),48.3410851,-103.5872881,SLICKWATER (HC),508.58644,131.36,,,,,,-6138839.582625226,4202596.45902572
Operator 4,Well 10096,TFH,10320.0,35.0,156,100,18,4539600.0,157627.0,6/4/2015,P & P (cmt.),48.34112031,-103.5871773,SLICKWATER (HC),502.03881,108.03,,,,,,-6138809.635249806,4202599.676926269
Operator 13,Well 10097,TFH,9469.0,35.0,158,95,16,3892746.0,167636.0,3/16/2015,P & P (cmt.),48.50381109,-102.9676009,SLICKWATER (HC),376.402705,122.33,,,,,,-5975738.825358832,4209376.256436882
Operator 4,Well 10098,MBH,9290.0,35.0,156,100,7,7354062.0,276217.0,10/25/2015,P & P (cmt.),48.34459308,-103.5979148,SLICKWATER (HC),543.167525,163.55,,,,,,-6140871.822389965,4204678.938412298
Operator 18,Well 10099,MBH,10632.0,35.0,154,98,10,2474945.0,36652.0,6/12/2015,Sleeves,48.17025304,-103.2795866,LINEAR GEL (HC),287.243135,141.37,,,,,,-6088179.771985124,4118314.1943421555
Operator 1,Well 101,TFH,9532.0,30.0,141,99,4,5784540.0,94257.0,8/12/2014,P & P,47.06616344,-103.2306396,,660.0,70.9,402.7613412,312.0644313,249.3151435,203.9557309,,-6209669.939070631,3731074.0540493573
Operator 22,Well 1010,TFH,9577.0,26.0,163,100,15,2592410.0,70602.0,6/16/2016,P & P (cmt.),48.9517648,-103.6433876,SLICKWATER (HC),560.59251,55.98,,,,,,-6077142.904542074,4419365.3327868795
Operator 18,Well 10100,MBH,9952.0,35.0,154,98,32,2520402.0,39706.0,4/4/2015,Sleeves,48.11200548,-103.3232035,LINEAR GEL (HC),501.24626,114.63,725.6410256,564.0587333,,,,-6105359.162245308,4101599.1391800516
Operator 4,Well 10101,MBH,6762.0,23.0,154,98,22,4682100.0,151086.0,7/2/2015,P & P (cmt.),48.14243169,-103.2728876,SLICKWATER (HC),660.0,161.67,,,,,,-6089979.4967451235,4108104.076411729
Operator 2,Well 10102,MBH,9290.0,30.0,158,95,3,3656150.0,78134.0,6/11/2015,P & P,48.54545988,-102.9348854,LINEAR GEL (HC),507.70667,92.34,,,,,,-5963191.9065789,4221286.544824161
Operator 2,Well 10103,TFH,9463.0,30.0,158,95,3,3743530.0,82876.0,6/4/2015,P & P,48.54546028,-102.9347615,CROSSLINKED (HC),519.58259,75.53,,,,,,-5963163.199574494,4221276.857533063
Operator 1,Well 10104,MBH,9586.0,30.0,159,99,21,3417722.0,197761.0,2/18/2015,P & P,48.57651604,-103.4858458,SLICKWATER (HC),660.0,84.44,,,,,,-6086718.165054091,4276180.229224696
