Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD,X (feet),Y (feet)
Operator 24,Well 10685,MBH,8690.0,24.0,154,98,26,3601980.0,84339.0,12/27/2013,P & P (cmt.),48.13751212,-103.2564031,,269.545115,89.65,547.1729126,393.8198554,295.2607933,251.6692235,218.6527504,-6086738.345339049,4105063.334504403
Operator 6,Well 10686,TFH,8974.0,30.0,154,99,18,3315300.0,64018.0,6/4/2013,Sleeves,48.16099539,-103.4730249,CROSSLINKED,660.0,97.45,494.1157133,440.1928556,362.3055008,307.2028636,268.148696,-6134258.435481401,4130766.655249477
Operator 1,Well 10687,MBH,10307.0,31.0,153,101,6,3651745.0,71324.0,11/19/2013,P & P,48.10935762,-103.7297249,,660.0,73.25,355.2268245,297.6440938,241.0530353,215.7498722,200.1643655,-6200194.362513684,4133801.495406066
Operator 41,Well 10688,TFH,9528.0,30.0,155,101,15,3916925.0,90065.0,8/27/2013,P & P,48.25485649,-103.6634822,CROSSLINKED (HC),472.90453,48.88,258.1196581,202.9037914,177.1970195,164.8513405,151.71762,-6167019.987421697,4178866.9919628086
Operator 1,Well 10689,TFH,9655.0,30.0,155,97,5,7524953.0,135957.0,9/10/2014,P & P,48.28362953,-103.1854136,,660.0,95.47,489.4477318,418.2555336,349.8027613,294.4407919,,-6052637.81534679,4150147.399570364
Operator 22,Well 1069,MBH,9666.0,30.0,163,100,10,2594383.0,77877.0,6/24/2016,P & P (cmt.),48.95310779,-103.6528518,SLICKWATER (HC),660.0,78.63,,,,,,-6079146.188765654,4420595.424979437
Operator 18,Well 10690,MBH,9374.0,30.0,157,99,8,1882341.0,35417.0,1/11/2013,Sleeves,48.43155086,-103.5066256,LINEAR GEL (HC),660.0,77.57,408.8757396,304.8104317,245.1402586,218.0254219,200.7944335,-6109154.600116124,4227476.709664187
Operator 41,Well 10691,TFH,9401.0,30.0,154,100,4,3687058.0,103636.0,1/7/2014,P & P,48.1966795,-103.5438712,CROSSLINKED (HC),606.745105,89.4,360.8152531,308.788078,255.9938637,232.6868288,219.1047556,-6146372.178455451,4148919.917699499
Operator 1,Well 10692,MBH,9537.0,30.0,155,98,11,4533003.0,94392.0,2/14/2014,P & P,48.2560944,-103.2548737,LINEAR GEL (HC),588.62578,110.78,490.6640368,447.7536708,360.4043393,312.1301775,275.5971948,-6072080.398481457,4146160.373518237
Operator 1,Well 10693,MBH,6416.0,30.0,157,98,19,2641411.0,47228.0,7/3/2013,P & P,48.40237786,-103.3892908,,660.0,75.06,348.6850756,287.3109796,252.9640587,217.9012346,193.2089634,-6085552.029517991,4207852.16659876
Operator 41,Well 10694,TFH,10243.0,33.0,156,100,32,5930270.0,212109.0,5/11/2014,P & P,48.28570599,-103.5633373,,632.26284,75.2,352.2024984,308.8976551,226.0026298,167.5688509,,-6140043.187504277,4181417.1011613547
Operator 24,Well 10695,TFH,9726.0,28.0,154,99,4,3827867.0,85280.0,8/1/2013,P & P,48.19555305,-103.4162646,CROSSLINKED (HC),469.17428,98.06,495.9894806,423.9973702,341.9899189,296.1173205,263.4560596,-6116879.195591198,4138162.7029326665
Operator 1,Well 10696,MBH,9384.0,30.0,155,95,1,3055987.0,51580.0,6/14/2013,P & P,48.27473414,-102.8289666,CROSSLINKED (HC),660.0,64.13,459.7304405,283.7058952,220.7703265,186.3722697,163.9135437,-5970898.859610943,4118583.6361272535
Operator 2,Well 10697,TFH,9735.0,30.0,154,96,12,2753660.0,81659.0,4/12/2013,P & P,48.16856314,-102.9772118,,392.787505,122.07,642.6692965,491.2447951,433.5250931,374.3699321,322.5646504,-6018042.175041593,4093434.389973676
Operator 12,Well 10698,MBH,7618.0,38.0,153,104,27,9132900.0,134174.0,6/24/2013,P & P,48.05087954,-104.0356206,,660.0,91.64,480.539119,381.3280736,297.7920228,259.3396157,230.1090291,-6278444.19226805,4138756.165795295
Operator 24,Well 10699,MBH,8755.0,27.0,154,98,27,3767572.0,79238.0,7/7/2013,P & P,48.13865159,-103.2649768,CROSSLINKED (HC),321.87637,98.45,617.5542406,477.142231,367.7788735,301.0482869,259.1962525,-6088595.407248391,4106151.5318223145
Operator 2,Well 107,MBH,9252.0,23.0,142,99,33,838674.0,16553.0,12/19/2008,OH,47.06910079,-103.2234646,,660.0,20.66,121.268902,90.19285558,72.97830375,60.34772445,52.98597414,-6207617.155366303,3731503.3364148783
Operator 22,Well 1070,MBH,10097.0,30.0,163,100,10,2605423.0,78834.0,6/24/2016,P & P (cmt.),48.95310779,-103.6526436,SLICKWATER (HC),624.235525,32.33,,,,,,-6079098.503870707,4420578.636844482
Operator 11,Well 10700,TFH,9678.0,36.0,153,100,13,3751140.0,99795.0,9/24/2013,Sleeves,48.08146189,-103.4806406,,563.697795,88.36,604.8323471,443.0747315,341.0749507,284.3304843,245.4470743,-6145689.719851334,4103769.0379216825
Operator 6,Well 10701,TFH,4336.0,22.0,154,99,9,2532582.0,56457.0,10/4/2014,P & P (cmt.),48.16962175,-103.4215945,CROSSLINKED (HC),533.354745,76.22,451.5450362,335.4262547,263.8012273,224.6219592,,-6121261.692571356,4129587.108540511
Operator 1,Well 10702,MBH,10085.0,30.0,156,95,2,3069756.0,51158.0,9/26/2013,P & P,48.37188341,-102.8646264,CROSSLINKED (HC),660.0,68.47,228.8297173,224.8411133,217.6035503,205.1537731,186.335744,-5967618.192098465,4155249.737732536
Operator 6,Well 10703,TFH,9246.0,32.0,154,99,18,3730520.0,57273.0,11/16/2013,Sleeves,48.15676304,-103.4730542,CROSSLINKED (HC),132.42945,81.83,542.4063116,357.8128424,286.9384177,248.7142962,220.2580539,-6134779.317742184,4129299.2439563163
